id	movie_id	movie_name	user_id	ctime	message
9103	7066	Агенты А.Н.К.Л.	68122	2015-08-30 21:15:53.661864+03	Хотелось смотреть. Но по сравнению с другими фильмами про агентов - скромно. 
9101	7288	Каникулы	68072	2015-08-30 21:10:54.763035+03	Посмеяться есть над чем, было весело!
9100	7069	Фантастическая четверка	19638	2015-08-30 20:07:13.57065+03	Скучный фильм!
9098	6778	Необыкновенное путешествие Серафимы	46723	2015-08-30 17:23:02.189616+03	Обязателен к просмотру и детям и взрослым.
9095	7066	Агенты А.Н.К.Л.	61689	2015-08-30 16:43:26.539629+03	очень стильный фильм от Гая Ричи
9094	5418	Пиксели	23934	2015-08-30 16:25:44.373726+03	Отличный фильм 
9091	6932	Головоломка	38945	2015-08-30 14:57:39.2276+03	Супер!
9086	7066	Агенты А.Н.К.Л.	10669	2015-08-30 13:36:12.648447+03	Улёт! Мне понравилось! И самое интересное это развязка. Да и актёра этого обожаю 😃
9084	7288	Каникулы	62708	2015-08-30 13:19:25.51017+03	Классный фильм, много юмора. Всем идти)))
9083	7286	Упс… Ной уплыл!	59865	2015-08-30 12:53:04.405482+03	крутой :) 
9082	6619	Форсаж 7	24560	2015-08-30 12:30:55.071913+03	Ванильный голливуд.
9081	5417	Безумный Макс: Дорога ярости	24560	2015-08-30 12:30:35.498157+03	Лучший треш-боевик в жанре дизельпанк.
9080	7288	Каникулы	68058	2015-08-30 12:25:10.361124+03	Киноход отличное приложение! Но, надо бы по ярче выделять те фильмы что +18, а то мы купили... На "Каникулы" и пошли с 13-ти летним...
9079	7001	Супер Майк XXL	63260	2015-08-30 08:55:39.32204+03	Фильм-гавно!
9077	7288	Каникулы	68031	2015-08-30 03:01:34.46458+03	Мы просто умирали сосмеху😆🙈🙈🙈
9076	7055	Вне/себя	53832	2015-08-30 01:00:36.388897+03	Хороший фильм. Будущее не за горами........
9074	7284	Иррациональный человек	46254	2015-08-30 00:50:01.21277+03	черная комедия,по-моему. глубокий смысл найти можно, если очень хотеть. но я не думаю, что именно его хотели донести авторы. а что хотели?! ну, видимо, просто рассказать историю. смотрится легко и один раз.
9073	6436	Дом	68028	2015-08-30 00:42:28.6988+03	Ходили с сыном - 5 лет. Я спал, а он смотрел :)
9071	6932	Головоломка	57184	2015-08-29 23:31:41.720884+03	Прекрасный мультфильм
9070	7289	Ультраамериканцы	10669	2015-08-29 23:25:09.714049+03	Фильм просто не понравился!!! Хотя перевод!!! именно ему 2 звезды!!!
9068	3782	Интерстеллар	60817	2015-08-29 22:37:56.447279+03	Уныло.
9064	6855	Мир Юрского периода	46248	2015-08-29 22:15:18.319895+03	На разок...
9060	7289	Ультраамериканцы	61801	2015-08-29 20:51:14.223791+03	забавный такой шлак. в оригинале наверное было бы лучше смотреть :)
9057	7288	Каникулы	6330	2015-08-29 19:50:27.267675+03	Просто хрень !
9042	7055	Вне/себя	10669	2015-08-29 13:08:44.822837+03	Уже написал! Повторюсь! Прога супер!!! Удобно и!!! Даёт скидку (при оплате картой) а не комиссию накидывает!!!
9041	5418	Пиксели	64370	2015-08-29 08:02:21.600279+03	Интересно снято! Для любителей игр! Узнал что оказывается не во все игры поиграл в детстве)
9040	6668	Миньоны	64370	2015-08-29 07:54:24.96568+03	Красавчики! Море позитива!
9038	7289	Ультраамериканцы	16287	2015-08-29 00:55:20.117394+03	КШИШТОВСКИЙ, Я ХОЧУ ТЕБЯ
9037	7289	Ультраамериканцы	44477	2015-08-29 00:32:04.18384+03	Прикольная комедия
9030	7289	Ультраамериканцы	53892	2015-08-28 23:10:29.711134+03	Трейлер безбожно лжёт!!! Просто какой-то отстой!!!! На разок и то перед ящиком!!!
9026	7288	Каникулы	57297	2015-08-28 21:56:28.850086+03	нормальный такой фильмец! поржал зал от души!
9025	7284	Иррациональный человек	17617	2015-08-28 21:52:05.437936+03	очень просто выражены довольно сложные мысли. фильм не самый лучший у Вуди Алена, но по-своему хорош 
9023	6668	Миньоны	29673	2015-08-28 20:54:23.176349+03	Лучше смотреть дома.
9021	7289	Ультраамериканцы	59865	2015-08-28 20:20:16.917701+03	Весьма интересный 
9016	4096	Ёлки Лохматые	44837	2015-08-28 15:50:57.111522+03	Для одного раза хорошо. 
9014	6778	Необыкновенное путешествие Серафимы	36009	2015-08-28 15:08:40.356371+03	Восхитительный мультфильм! Сюжет восхитительный. Побольше бы таких для детей снимали.  
9012	7069	Фантастическая четверка	33723	2015-08-28 12:58:06.821372+03	Говно. На один раз. Даже не буду скачивать в архив
9011	7289	Ультраамериканцы	66882	2015-08-28 12:47:47.627496+03	Средне
9008	7289	Ультраамериканцы	67862	2015-08-28 03:46:01.969199+03	Добрая часть фильма была в трейлере. 
9007	7288	Каникулы	67166	2015-08-28 00:33:48.108788+03	Очень крутой ржачный фильм! Давно таких не было
9006	7066	Агенты А.Н.К.Л.	7496	2015-08-28 00:12:36.412904+03	Чушь. 
9002	7066	Агенты А.Н.К.Л.	67852	2015-08-27 22:53:59.519077+03	Шикарно!
9001	7288	Каникулы	63983	2015-08-27 22:07:31.63955+03	Идеальная комедия
9000	6784	Земля будущего	52286	2015-08-27 21:50:05.701345+03	Вполне достойный.
8998	7063	Миссия невыполнима: Племя изгоев	29926	2015-08-27 20:40:16.178065+03	Отличный фильм! Как всегда на высоте! 
8997	6932	Головоломка	29926	2015-08-27 20:39:36.640241+03	Отличный мульт. Но не детский, на мой взгляд. 
8995	7066	Агенты А.Н.К.Л.	67839	2015-08-27 20:19:03.330573+03	Фильм очень понравился. Взяли все лучшее из бондианы. Для Гая Ричи оставил необычайно легкое впечатление
8994	7288	Каникулы	18618	2015-08-27 19:57:01.869686+03	Живот устал смеяться)))
8993	4738	Город героев	18618	2015-08-27 19:56:08.398771+03	Самый крутой мульт!)
8992	7288	Каникулы	67768	2015-08-27 19:43:11.926216+03	обалденный фильм! со времён "мы миллеры" и "мальчишника" не смотрел таких ржачных фильмов!
8988	6932	Головоломка	40447	2015-08-27 16:21:21.794934+03	Приятный и умный мульт!
8986	7066	Агенты А.Н.К.Л.	18618	2015-08-27 14:54:22.582213+03	Круто!))г
8983	7021	Синистер 2	18618	2015-08-27 14:43:33.027141+03	Хороший ужастик)
8982	7286	Упс… Ной уплыл!	67789	2015-08-27 13:01:38.052879+03	Смешного мало. Мульт на один раз и не для кино.
8981	4747	Бёрдмэн	35873	2015-08-27 12:49:20.277339+03	вообще отличный фильмец
8979	6871	Шпион	34447	2015-08-27 11:44:00.360753+03	Давно в кинотеатрах не было столь качественной комедии
8978	7049	Бумажные города	64307	2015-08-27 11:30:23.055753+03	Сюжет на уровне смазливой пизды
8977	4788	Kingsman: Секретная служба	33357	2015-08-27 11:18:46.995622+03	 
8976	7021	Синистер 2	67166	2015-08-27 11:15:10.302863+03	Фильм хорош, явно будет и 3я часть!
8974	3743	Люди Икс: Дни минувшего будущего	10010	2015-08-27 09:51:51.000679+03	Nice!
8973	5960	Мстители: Эра Альтрона	53255	2015-08-27 08:31:41.961604+03	Как всегда крутое продолжение легендарной франшизы))) ждём продолжения))
8972	7322	Кто я	53255	2015-08-27 08:30:30.417753+03	Немного нудноватый фильм, но с интересным сюжетом)))) Идти обязательно на ночной сеанс)))
8968	7069	Фантастическая четверка	65757	2015-08-27 00:19:32.847676+03	Фильм понравился, не понимаю, почему все так плохо отзываются о нем.
8967	7284	Иррациональный человек	21794	2015-08-26 23:50:17.922226+03	очень интересный сюжет!)
8966	7063	Миссия невыполнима: Племя изгоев	67717	2015-08-26 23:40:49.951347+03	Не верила, что "Протокол "Фантом" можно превзойти, но Том Круз и компания, как всегда, совершили невыполнимое: превзошли самих себя образца предыдущей части франшизы. Посмотрела фильм дважды, слов описать восторг так и не появилось.
8965	7284	Иррациональный человек	42454	2015-08-26 23:36:44.115917+03	Не то чего ожидали. Спорный и странный фильм. Эмма не айс, феникс тоже с арбузом вместо живота. 😁
8964	6367	TheatreHD: Вид с моста	63784	2015-08-26 22:54:20.770906+03	Потрясающе!! Очень сильно!!!
8963	6764	Одной левой	8942	2015-08-26 22:21:18.114904+03	1
8960	6619	Форсаж 7	46248	2015-08-26 19:20:37.409009+03	Очень средненько...
8957	7069	Фантастическая четверка	25921	2015-08-26 16:53:38.987413+03	тривиально 
8955	4268	Левиафан	67753	2015-08-26 15:27:41.124887+03	Вышел из кинотеатра, а Левиафан не закончился. 
8954	3782	Интерстеллар	21937	2015-08-26 13:19:04.599919+03	Круть
8953	7063	Миссия невыполнима: Племя изгоев	67745	2015-08-26 12:54:17.436444+03	Фильм очень понравился, смотрели на одном дыхании.👍🏼
8952	6296	Игра в имитацию	1013	2015-08-26 12:04:34.934855+03	Lalalalal
8951	6855	Мир Юрского периода	67742	2015-08-26 11:50:30.985479+03	Очень понравился)
8950	7280	Левша	67495	2015-08-26 11:01:53.886743+03	Очень хороший фильм!!! Всем советую посмотреть!!
8949	6950	Третий лишний 2	23404	2015-08-26 08:56:04.638457+03	👍
8948	7066	Агенты А.Н.К.Л.	37206	2015-08-26 08:50:06.765758+03	Отличный фильм :)
8945	7041	Человек-муравей	60497	2015-08-26 07:39:27.331354+03	Фильм понравился, ожидал худшего!
8944	6636	Битва за Севастополь	53123	2015-08-26 07:13:42.476629+03	Отлично 👌🏻
8943	6855	Мир Юрского периода	53123	2015-08-26 07:12:22.942965+03	Не очень...
8942	6999	Терминатор: Генезис	53123	2015-08-26 07:11:14.004771+03	Норм 👌🏻
8941	4721	Исход: Цари и боги	41704	2015-08-26 02:09:44.21291+03	:(
8937	7066	Агенты А.Н.К.Л.	61025	2015-08-25 23:37:58.371502+03	Фильм классный , не хватило только любви какая то не завершенность )))
